ticker,fiscalDateEnding,reportedEPS
MSFT,2021-09-30,2.27
MSFT,2021-06-30,7.97
MSFT,2020-06-30,5.75
MSFT,2019-06-30,4.75
MSFT,2018-06-30,3.88
MSFT,2017-06-30,3.31
MSFT,2016-06-30,2.76
MSFT,2015-06-30,2.46
MSFT,2014-06-30,2.63
MSFT,2013-06-30,2.67
MSFT,2012-06-30,2.73
MSFT,2011-06-30,2.69
MSFT,2010-06-30,2.1
MSFT,2009-06-30,1.7
MSFT,2008-06-30,1.88
MSFT,2007-06-30,1.49
MSFT,2006-06-30,1.27
MSFT,2005-06-30,1.3
MSFT,2004-06-30,1.26
MSFT,2003-06-30,1.05
MSFT,2002-06-30,0.93
MSFT,2001-06-30,0.91
MSFT,2000-06-30,0.87
MSFT,1999-06-30,0.71
MSFT,1998-06-30,0.46
MSFT,1997-06-30,0.33
MSFT,1996-06-30,0.215
AAPL,2021-09-30,5.62
AAPL,2020-09-30,3.27
AAPL,2019-09-30,2.98
AAPL,2018-09-30,2.97
AAPL,2017-09-30,2.3
AAPL,2016-09-30,2.0675
AAPL,2015-09-30,2.3
AAPL,2014-09-30,1.6075
AAPL,2013-09-30,1.415
AAPL,2012-09-30,1.5775
AAPL,2011-09-30,0.9875
AAPL,2010-09-30,0.54
AAPL,2009-09-30,0.2225
AAPL,2008-09-30,0.38
AAPL,2007-09-30,0.55
AAPL,2006-09-30,0.33
AAPL,2005-09-30,0.2
AAPL,2004-09-30,0.05
AAPL,2003-09-30,0.0112
AAPL,2002-09-30,0.0198
AAPL,2001-09-30,0.0061
AAPL,2000-09-30,0.11
AAPL,1999-09-30,0.09
AAPL,1998-09-30,0.06
AAPL,1997-09-30,-0.1114
AAPL,1996-09-30,-0.1082
AMZN,2021-09-30,37.03
AMZN,2020-12-31,41.77
AMZN,2019-12-31,23.01
AMZN,2018-12-31,20.13
AMZN,2017-12-31,4.5512
AMZN,2016-12-31,4.91
AMZN,2015-12-31,1.24
AMZN,2014-12-31,-0.54
AMZN,2013-12-31,0.58
AMZN,2012-12-31,0.42
AMZN,2011-12-31,1.37
AMZN,2010-12-31,2.53
AMZN,2009-12-31,2.03
AMZN,2008-12-31,1.5
AMZN,2007-12-31,1.12
AMZN,2006-12-31,0.45
AMZN,2005-12-31,0.84
AMZN,2004-12-31,0.93
AMZN,2003-12-31,0.6
AMZN,2002-12-31,0.0776
AMZN,2001-12-31,-0.44
AMZN,2000-12-31,-1.18
AMZN,1999-12-31,-1.17
AMZN,1998-12-31,-0.25
AMZN,1997-12-31,-0.08
TSLA,2021-09-30,4.24
TSLA,2020-12-31,2.2241
TSLA,2019-12-31,-0.0192
TSLA,2018-12-31,-0.316
TSLA,2017-12-31,-1.724
TSLA,2016-12-31,-0.322
TSLA,2015-12-31,-0.516
TSLA,2014-12-31,0.024
TSLA,2013-12-31,0.41
TSLA,2012-12-31,-3.22
TSLA,2011-12-31,-2.21
TSLA,2010-12-31,-0.9212
FB,2021-09-30,10.13
FB,2020-12-31,9.79
FB,2019-12-31,8.56
FB,2018-12-31,7.57
FB,2017-12-31,6.4789
FB,2016-12-31,4.24
FB,2015-12-31,2.28
FB,2014-12-31,1.73
FB,2013-12-31,0.87
FB,2012-12-31,0.4745
NVDA,2021-10-31,1.955
NVDA,2021-01-31,2.4975
NVDA,2020-01-31,1.4475
NVDA,2019-01-31,1.6575
NVDA,2018-01-31,1.2275
NVDA,2017-01-31,1.5075
NVDA,2016-01-31,1.25
NVDA,2015-01-31,1.09
NVDA,2014-01-31,0.73
NVDA,2013-01-31,0.93
NVDA,2012-01-31,0.95
NVDA,2011-01-31,0.64
NVDA,2010-01-31,0.4
NVDA,2009-01-31,0.51
NVDA,2008-01-31,1.55
NVDA,2007-01-31,0.7675
NVDA,2006-01-31,0.69
NVDA,2005-01-31,0.38
NVDA,2004-01-31,0.22
NVDA,2003-01-31,0.27
NVDA,2002-01-31,0.27
NVDA,2001-01-31,0.16
NVDA,2000-01-31,0.09
BRK-B,2021-09-30,8.85
BRK-B,2020-12-31,9.14
BRK-B,2019-12-31,4705.86
BRK-B,2018-12-31,10.04
BRK-B,2017-12-31,5.86
BRK-B,2016-12-31,7.14
BRK-B,2015-12-31,7.05
BRK-B,2014-12-31,4786.53
BRK-B,2013-12-31,9212
BRK-B,2012-12-31,7628
BRK-B,2011-12-31,6530
BRK-B,2010-12-31,6774
BRK-B,2009-12-31,4880
BRK-B,2008-12-31,6223
BRK-B,2007-12-31,6232
BRK-B,2006-12-31,6036
BRK-B,2005-12-31,3196
BRK-B,2004-12-31,3283
BRK-B,2003-12-31,3531
BRK-B,2002-12-31,2543
BRK-B,2001-12-31,-332.7353
BRK-B,2000-12-31,358.8271
BRK-B,1999-12-31,0.6839
BRK-B,1998-12-31,1.5112
JPM,2021-09-30,11.92
JPM,2020-12-31,10.13
JPM,2019-12-31,10.72
JPM,2018-12-31,8.87
JPM,2017-12-31,6.8785
JPM,2016-12-31,6.06
JPM,2015-12-31,5.99
JPM,2014-12-31,5.29
JPM,2013-12-31,6.01
JPM,2012-12-31,5.27
JPM,2011-12-31,4.47
JPM,2010-12-31,3.6
JPM,2009-12-31,2.24
JPM,2008-12-31,1.4
JPM,2007-12-31,4.37
JPM,2006-12-31,3.86
JPM,2005-12-31,2.95
JPM,2004-12-31,3.01
JPM,2003-12-31,3.25
JPM,2002-12-31,1.24
JPM,2001-12-31,1.97
JPM,2000-12-31,3.06
JPM,1999-12-31,4.17
JPM,1998-12-31,3.03
JPM,1997-12-31,2.75
JPM,1996-12-31,2.5
V,2021-09-30,5.91
V,2020-09-30,5.03
V,2019-09-30,5.45
V,2018-09-30,4.6
V,2017-09-30,3.48
V,2016-09-30,2.84
V,2015-09-30,2.62
V,2014-09-30,2.19
V,2013-09-30,1.87
V,2012-09-30,1.55
V,2011-09-30,1.26
V,2010-09-30,1.01
V,2009-09-30,0.74
V,2008-09-30,0.42
JNJ,2021-09-30,7.67
JNJ,2020-12-31,8.03
JNJ,2019-12-31,8.68
JNJ,2018-12-31,8.18
JNJ,2017-12-31,7.3
JNJ,2016-12-31,6.68
JNJ,2015-12-31,6.2
JNJ,2014-12-31,5.97
JNJ,2013-12-31,5.52
JNJ,2012-12-31,5.11
JNJ,2011-12-31,5
JNJ,2010-12-31,4.76
JNJ,2009-12-31,4.63
JNJ,2008-12-31,4.55
JNJ,2007-12-31,4.15
JNJ,2006-12-31,3.76
JNJ,2005-12-31,3.5
JNJ,2004-12-31,3.1
JNJ,2003-12-31,2.65
JNJ,2002-12-31,2.22
JNJ,2001-12-31,1.9
JNJ,2000-12-31,1.72
JNJ,1999-12-31,1.51
JNJ,1998-12-31,1.35
JNJ,1997-12-31,1.24
JNJ,1996-12-31,1.09
UNH,2021-09-30,14.53
UNH,2020-12-31,16.87
UNH,2019-12-31,15.11
UNH,2018-12-31,12.87
UNH,2017-12-31,10.08
UNH,2016-12-31,8.05
UNH,2015-12-31,6.15
UNH,2014-12-31,5.7
UNH,2013-12-31,5.5
UNH,2012-12-31,5.28
UNH,2011-12-31,4.72
UNH,2010-12-31,4.21
UNH,2009-12-31,3.24
UNH,2008-12-31,2.96
UNH,2007-12-31,3.48
UNH,2006-12-31,2.98
UNH,2005-12-31,2.48
UNH,2004-12-31,1.98
UNH,2003-12-31,1.49
UNH,2002-12-31,1.06
UNH,2001-12-31,0.7
UNH,2000-12-31,0.53
UNH,1999-12-31,0.4
UNH,1998-12-31,0.32
UNH,1997-12-31,0.28
UNH,1996-12-31,0.25
WMT,2021-10-31,3.47
WMT,2021-01-31,5.47
WMT,2020-01-31,4.94
WMT,2019-01-31,4.92
WMT,2018-01-31,4.41
WMT,2017-01-31,4.33
WMT,2016-01-31,4.59
WMT,2015-01-31,5.07
WMT,2014-01-31,5.13
WMT,2013-01-31,5.02
WMT,2012-01-31,4.48
WMT,2011-01-31,4.09
WMT,2010-01-31,3.66
WMT,2009-01-31,3.42
WMT,2008-01-31,3.13
WMT,2007-01-31,2.89
WMT,2006-01-31,2.63
WMT,2005-01-31,2.41
WMT,2004-01-31,2.02
WMT,2003-01-31,1.81
WMT,2002-01-31,1.5
WMT,2001-01-31,1.42
WMT,2000-01-31,1.28
WMT,1999-01-31,1
WMT,1998-01-31,0.78
WMT,1997-01-31,0.68
fiscalDateEnding,reportedEPS
HD,2021-08-31,9.06
HD,2021-02-28,13.8
HD,2020-02-29,10.06
HD,2019-02-28,10.08
HD,2018-02-28,7.86
HD,2017-02-28,6.68
HD,2016-02-29,5.67
HD,2015-02-28,4.84
HD,2014-02-28,3.88
HD,2013-02-28,3.25
HD,2012-02-29,2.61
HD,2011-02-28,2.09
HD,2010-02-28,1.74
HD,2009-02-28,1.7
HD,2008-02-29,2.17
HD,2007-02-28,2.61
HD,2006-02-28,2.84
HD,2005-02-28,2.34
HD,2004-02-29,1.97
HD,2003-02-28,1.59
HD,2002-02-28,1.38
HD,2001-02-28,1.11
HD,2000-02-29,1.06
HD,1999-02-28,0.79
HD,1998-02-28,0.58
HD,1997-02-28,0.46
HD,1996-02-29,0.09
fiscalDateEnding,reportedEPS
BAC,2021-09-30,2.74
BAC,2020-12-31,1.87
BAC,2019-12-31,2.93
BAC,2018-12-31,2.61
BAC,2017-12-31,1.82
BAC,2016-12-31,1.38
BAC,2015-12-31,1.37
BAC,2014-12-31,0.56
BAC,2013-12-31,1.01
BAC,2012-12-31,0.4369
BAC,2011-12-31,-0.27
BAC,2010-12-31,0.86
BAC,2009-12-31,-0.09
BAC,2008-12-31,0.62
BAC,2007-12-31,3.32
BAC,2006-12-31,4.71
BAC,2005-12-31,4.22
BAC,2004-12-31,3.7
BAC,2003-12-31,3.58
BAC,2002-12-31,2.97
BAC,2001-12-31,2.47
BAC,2000-12-31,2.38
BAC,1999-12-31,2.36
BAC,1998-12-31,1.89
BAC,1997-12-31,2.08
BAC,1996-12-31,2.04
PG,2021-09-30,1.61
PG,2021-06-30,5.66
PG,2020-06-30,5.12
PG,2019-06-30,4.53
PG,2018-06-30,4.22
PG,2017-06-30,3.92
PG,2016-06-30,3.67
PG,2015-06-30,4.05
PG,2014-06-30,4.25
PG,2013-06-30,4.06
PG,2012-06-30,3.89
PG,2011-06-30,3.95
PG,2010-06-30,4.09
PG,2009-06-30,4.25
PG,2008-06-30,3.64
PG,2007-06-30,3.04
PG,2006-06-30,2.67
PG,2005-06-30,2.66
PG,2004-06-30,2.33
PG,2003-06-30,2.03
PG,2002-06-30,1.79
PG,2001-06-30,1.57
PG,2000-06-30,1.48
PG,1999-06-30,1.45
PG,1998-06-30,1.36
PG,1997-06-30,1.23
PG,1996-06-30,1.08
MA,2021-09-30,6.06
MA,2020-12-31,6.43
MA,2019-12-31,7.78
MA,2018-12-31,6.49
MA,2017-12-31,4.59
MA,2016-12-31,3.76
MA,2015-12-31,3.44
MA,2014-12-31,3.09
MA,2013-12-31,2.62
MA,2012-12-31,2.21
MA,2011-12-31,1.87
MA,2010-12-31,1.41
MA,2009-12-31,1.12
MA,2008-12-31,0.91
MA,2007-12-31,0.57
MA,2006-12-31,0.3667
ADBE,2021-08-31,9.28
ADBE,2020-11-30,10.1
ADBE,2019-11-30,7.88
ADBE,2018-11-30,6.77
ADBE,2017-11-30,4.32
ADBE,2016-11-30,3.02
ADBE,2015-11-30,2.08
ADBE,2014-11-30,1.31
ADBE,2013-11-30,1.35
ADBE,2012-11-30,2.36
ADBE,2011-11-30,2.35
ADBE,2010-11-30,1.94
ADBE,2009-11-30,1.54
ADBE,2008-11-30,2.08
ADBE,2007-11-30,1.61
ADBE,2006-11-30,1.25
ADBE,2005-11-30,1.14
ADBE,2004-11-30,0.91
ADBE,2003-11-30,0.58
ADBE,2002-11-30,0.49
ADBE,2001-11-30,0.58
ADBE,2000-11-30,0.56
ADBE,1999-11-30,0.39
ADBE,1998-11-30,0.24
ADBE,1997-11-30,0.29
ADBE,1996-11-30,0.1
DIS,2021-09-30,2.23
DIS,2020-09-30,2.01
DIS,2019-09-30,5.87
DIS,2018-09-30,7.08
DIS,2017-09-30,5.7
DIS,2016-09-30,5.71
DIS,2015-09-30,5.15
DIS,2014-09-30,4.32
DIS,2013-09-30,3.38
DIS,2012-09-30,3.07
DIS,2011-09-30,2.54
DIS,2010-09-30,2.07
DIS,2009-09-30,1.82
DIS,2008-09-30,2.26
DIS,2007-09-30,1.92
DIS,2006-09-30,1.61
DIS,2005-09-30,1.31
DIS,2004-09-30,1.09
DIS,2003-09-30,0.64
DIS,2002-09-30,0.56
DIS,2001-09-30,0.74
DIS,2000-09-30,0.88
DIS,1999-09-30,0.66
DIS,1998-09-30,0.88
DIS,1997-09-30,0.92
DIS,1996-09-30,0.52
CRM,2021-10-31,2.69
CRM,2021-01-31,4.92
CRM,2020-01-31,3
CRM,2019-01-31,2.76
CRM,2018-01-31,1.35
CRM,2017-01-31,1
CRM,2016-01-31,0.75
CRM,2015-01-31,0.52
CRM,2014-01-31,0.35
CRM,2013-01-31,0.41
CRM,2012-01-31,0.35
CRM,2011-01-31,0.31
CRM,2010-01-31,0.16
CRM,2009-01-31,0.09
CRM,2008-01-31,0.05
CRM,2007-01-31,0.07
CRM,2006-01-31,0.04
CRM,2005-01-31,0.0173
XOM,2021-09-30,3.33
XOM,2020-12-31,-0.32
XOM,2019-12-31,2.25
XOM,2018-12-31,4.9709
XOM,2017-12-31,3.54
XOM,2016-12-31,2.358
XOM,2015-12-31,3.85
XOM,2014-12-31,7.36
XOM,2013-12-31,7.37
XOM,2012-12-31,8.09
XOM,2011-12-31,8.42
XOM,2010-12-31,6.22
XOM,2009-12-31,4.01
XOM,2008-12-31,8.44
XOM,2007-12-31,7.28
XOM,2006-12-31,6.55
XOM,2005-12-31,5.35
XOM,2004-12-31,3.97
XOM,2003-12-31,2.56
XOM,2002-12-31,1.7
XOM,2001-12-31,1.91
XOM,2000-12-31,2.41
XOM,1999-12-31,1.19
XOM,1998-12-31,1.31
XOM,1997-12-31,1.71
XOM,1996-12-31,1.4
NKE,2021-08-31,1.16
NKE,2021-05-31,3.56
NKE,2020-05-31,1.83
NKE,2019-05-31,2.49
NKE,2018-05-31,2.4
NKE,2017-05-31,2.51
NKE,2016-05-31,2.16
NKE,2015-05-31,1.86
NKE,2014-05-31,1.5
NKE,2013-05-31,1.34
NKE,2012-05-31,1.18
NKE,2011-05-31,1.1
NKE,2010-05-31,0.97
NKE,2009-05-31,0.96
NKE,2008-05-31,0.94
NKE,2007-05-31,0.73
NKE,2006-05-31,0.67
NKE,2005-05-31,0.56
NKE,2004-05-31,0.43
NKE,2003-05-31,0.35
NKE,2002-05-31,0.31
NKE,2001-05-31,0.28
NKE,2000-05-31,0.27
NKE,1999-05-31,0.21
NKE,1998-05-31,0.21
NKE,1997-05-31,0.35
NKE,1996-05-31,0.24
ORCL,2021-08-31,1.03
ORCL,2021-05-31,4.69
ORCL,2020-05-31,3.88
ORCL,2019-05-31,3.54
ORCL,2018-05-31,3.14
ORCL,2017-05-31,2.74
ORCL,2016-05-31,2.61
ORCL,2015-05-31,2.77
ORCL,2014-05-31,2.88
ORCL,2013-05-31,2.69
ORCL,2012-05-31,2.46
ORCL,2011-05-31,2.22
ORCL,2010-05-31,1.67
ORCL,2009-05-31,1.44
ORCL,2008-05-31,1.3
ORCL,2007-05-31,1.02
ORCL,2006-05-31,0.81
ORCL,2005-05-31,0.68
ORCL,2004-05-31,0.51
ORCL,2003-05-31,0.44
ORCL,2002-05-31,0.42
ORCL,2001-05-31,0.45
ORCL,2000-05-31,0.36
ORCL,1999-05-31,0.22
ORCL,1998-05-31,0.17
ORCL,1997-05-31,0.14
ORCL,1996-05-31,0.0916
TMO,2021-09-30,18.57
TMO,2020-12-31,19.55
TMO,2019-12-31,12.34
TMO,2018-12-31,11.12
TMO,2017-12-31,9.48
TMO,2016-12-31,8.27
TMO,2015-12-31,7.39
TMO,2014-12-31,6.95
TMO,2013-12-31,5.42
TMO,2012-12-31,4.94
TMO,2011-12-31,4.16
TMO,2010-12-31,3.58
TMO,2009-12-31,3.05
TMO,2008-12-31,3.17
TMO,2007-12-31,2.65
TMO,2006-12-31,1.82
TMO,2005-12-31,1.56
TMO,2004-12-31,1.26
TMO,2003-12-31,1.1
TMO,2002-12-31,0.98
TMO,2001-12-31,0.91
TMO,2000-12-31,0.62
TMO,1999-12-31,0.87
TMO,1998-12-31,1.22
TMO,1997-12-31,1.59
TMO,1996-12-31,1.35
LLY,2021-09-30,5.68
LLY,2020-12-31,7.93
LLY,2019-12-31,6.04
LLY,2018-12-31,5.56
LLY,2017-12-31,4.28
LLY,2016-12-31,3.52
LLY,2015-12-31,3.44
LLY,2014-12-31,2.79
LLY,2013-12-31,4.15
LLY,2012-12-31,3.39
LLY,2011-12-31,4.42
LLY,2010-12-31,4.74
LLY,2009-12-31,4.43
LLY,2008-12-31,4.02
LLY,2007-12-31,3.55
LLY,2006-12-31,3.18
LLY,2005-12-31,2.88
LLY,2004-12-31,2.82
LLY,2003-12-31,2.58
LLY,2002-12-31,2.55
LLY,2001-12-31,2.76
LLY,2000-12-31,2.65
LLY,1999-12-31,2.28
LLY,1998-12-31,1.95
LLY,1997-12-31,1.61
LLY,1996-12-31,1.4
PFE,2021-09-30,3.34
PFE,2020-12-31,2.72
PFE,2019-12-31,2.95
PFE,2018-12-31,3
PFE,2017-12-31,2.65
PFE,2016-12-31,2.39
PFE,2015-12-31,2.2
PFE,2014-12-31,2.26
PFE,2013-12-31,2.24
PFE,2012-12-31,2.2
PFE,2011-12-31,2.32
PFE,2010-12-31,2.23
PFE,2009-12-31,2.02
PFE,2008-12-31,2.43
PFE,2007-12-31,2.2
PFE,2006-12-31,2.08
PFE,2005-12-31,2.02
PFE,2004-12-31,2.12
PFE,2003-12-31,1.75
PFE,2002-12-31,1.59
PFE,2001-12-31,1.31
PFE,2000-12-31,1.05
PFE,1999-12-31,0.88
PFE,1998-12-31,0.7
PFE,1997-12-31,0.57
PFE,1996-12-31,0.5
KO,2021-09-30,1.88
KO,2020-12-31,1.95
KO,2019-12-31,2.11
KO,2018-12-31,2.09
KO,2017-12-31,1.91
KO,2016-12-31,1.91
KO,2015-12-31,2
KO,2014-12-31,2.05
KO,2013-12-31,2.08
KO,2012-12-31,2.02
KO,2011-12-31,1.94
KO,2010-12-31,1.75
KO,2009-12-31,1.53
KO,2008-12-31,1.59
KO,2007-12-31,1.36
KO,2006-12-31,1.19
KO,2005-12-31,1.09
KO,2004-12-31,1.03
KO,2003-12-31,0.98
KO,2002-12-31,0.89
KO,2001-12-31,0.83
KO,2000-12-31,0.73
KO,1999-12-31,0.66
KO,1998-12-31,0.71
KO,1997-12-31,0.82
KO,1996-12-31,0.71
PYPL,2021-09-30,3.48
PYPL,2020-12-31,3.88
PYPL,2019-12-31,3.11
PYPL,2018-12-31,2.42
PYPL,2017-12-31,1.91
PYPL,2016-12-31,1.5
PYPL,2015-12-31,1.25
CMCSA,2021-09-30,2.47
CMCSA,2020-12-31,2.61
CMCSA,2019-12-31,3.12
CMCSA,2018-12-31,2.56
CMCSA,2017-12-31,2.06
CMCSA,2016-12-31,1.74
CMCSA,2015-12-31,1.635
CMCSA,2014-12-31,2.45
CMCSA,2013-12-31,1.25
CMCSA,2012-12-31,0.97
CMCSA,2011-12-31,0.79
CMCSA,2010-12-31,0.66
CMCSA,2009-12-31,0.65
CMCSA,2008-12-31,0.48
CMCSA,2007-12-31,0.38
CMCSA,2006-12-31,0.3
CMCSA,2005-12-31,0.16
CMCSA,2004-12-31,0.14
CMCSA,2003-12-31,-0.0033
CMCSA,2002-12-31,0.26
CMCSA,2001-12-31,-0.52
CMCSA,2000-12-31,0.32
CMCSA,1999-12-31,-0.08
CMCSA,1998-12-31,0.5026
CMCSA,1997-12-31,-0.05
CMCSA,1996-12-31,-0.02
CSCO,2021-10-31,0
CSCO,2021-07-31,3.22
CSCO,2020-07-31,3.2
CSCO,2019-07-31,3.09
CSCO,2018-07-31,2.6
CSCO,2017-07-31,2.39
CSCO,2016-07-31,2.36
CSCO,2015-07-31,2.2
CSCO,2014-07-31,2.06
CSCO,2013-07-31,2.02
CSCO,2012-07-31,1.85
CSCO,2011-07-31,1.61
CSCO,2010-07-31,1.61
CSCO,2009-07-31,1.35
CSCO,2008-07-31,1.56
CSCO,2007-07-31,1.34
CSCO,2006-07-31,1.1
CSCO,2005-07-31,0.91
CSCO,2004-07-31,0.75
CSCO,2003-07-31,0.59
CSCO,2002-07-31,0.38
CSCO,2001-07-31,0.41
CSCO,2000-07-31,0.54
CSCO,1999-07-31,0.4
CSCO,1998-07-31,0.3
CSCO,1997-07-31,0.23
CSCO,1996-07-31,0.1599
MRK,2021-09-30,4.46
MRK,2020-12-31,5.93
MRK,2019-12-31,5.19
MRK,2018-12-31,4.34
MRK,2017-12-31,3.98
MRK,2016-12-31,3.78
MRK,2015-12-31,3.6
MRK,2014-12-31,3.5
MRK,2013-12-31,3.49
MRK,2012-12-31,3.3947
MRK,2011-12-31,3.78
MRK,2010-12-31,3.42
MRK,2009-12-31,3.26
MRK,2008-12-31,3.42
MRK,2007-12-31,3.21
MRK,2006-12-31,2.52
MRK,2005-12-31,2.53
MRK,2004-12-31,2.62
MRK,2003-12-31,3.04
MRK,2002-12-31,3.14
MRK,2001-12-31,3.14
MRK,2000-12-31,2.89
MRK,1999-12-31,2.46
MRK,1998-12-31,2.18
MRK,1997-12-31,1.92
MRK,1996-12-31,1.61
